generation, best seeker, average seeker, best avoider, average avoider
123, 2862, 2389.4375, 4442.351653364487, 924.4133569912252
124, 3250, 2631.3125, 4480.634310835707, 891.2238792279645
125, 3732, 2661.25, 4237.913383369743, 831.2060658246272
126, 3764, 2786.25, 4592.983560304467, 854.3639865018937
127, 3718, 2523.375, 4720.07353982407, 798.2320725941283
128, 2992, 2561.875, 4339.993936247034, 882.0336097456914
129, 3501, 2639.75, 4480.9586153656455, 869.4535578839358
130, 3764, 2721.8125, 4410.4214870747, 764.1207886029599
131, 3631, 2755.0, 4746.705527590308, 706.352781495323
132, 3681, 2709.9375, 4902.418528234593, 858.9785127766345
133, 3571, 2777.4375, 4467.900864547525, 858.3138855015432
134, 3853, 2822.9375, 4504.475238434811, 653.6824182748245
135, 3602, 2870.625, 4567.602728372045, 550.14250904281
136, 3820, 2937.3125, 4599.146695123584, 694.1390946829143
137, 2853, 2516.3125, 4790.049055329558, 920.0283400248635
138, 3582, 2486.625, 4289.560037923684, 926.560337476076
139, 3594, 2651.75, 4607.433536283748, 916.9839628815644
140, 3609, 2739.6875, 4581.8834082667545, 699.0295884622241
141, 3523, 2704.625, 3998.6261577600258, 840.4699561124348
142, 3611, 2866.3125, 4319.894797931195, 601.8929288207535
143, 3569, 2658.5625, 4697.813323704997, 829.8851876195894
144, 3630, 2861.5, 4485.7377492643445, 548.8656549889233
145, 3594, 2820.4375, 4100.851721660611, 614.1522707369401
146, 3716, 3136.375, 4187.074752240618, 599.6402929711303
147, 3512, 2417.875, 5342.6250433655105, 1017.315693975746
148, 3490, 2879.625, 4027.809312827884, 546.3800439530403
149, 3661, 2878.25, 4258.98323406589, 651.3045539404837
150, 3637, 2617.875, 4632.588310617496, 931.0894226323302
151, 3756, 2673.9375, 4335.936630063212, 739.7624159916855
152, 3727, 2949.4375, 4005.6027933881137, 526.4426870156302
153, 3475, 2716.5, 4364.666338360621, 853.2276325147932
154, 3622, 2736.5625, 4958.095798221964, 752.4567296898398
155, 3747, 2985.3125, 4003.574719209228, 551.9944514048307
156, 3638, 2515.1875, 5116.450935966926, 932.5220287401733
157, 3689, 2927.9375, 4376.17746669519, 648.553520014896
158, 3503, 2755.25, 5270.358659455142, 695.2946425379874
159, 3760, 2733.5625, 4514.516038128305, 701.96160721819
160, 3719, 2797.625, 4526.02689191777, 740.446047108336
161, 3727, 2912.875, 4617.181888967565, 662.2383219203701
162, 3754, 2603.3125, 4358.439005616142, 883.6694528450239
163, 3740, 2783.0, 4372.481650405156, 786.1908784105701
164, 3442, 2709.3125, 4408.072173375806, 776.037287146877
165, 3797, 2839.4375, 4805.096491301652, 670.9146288716253
166, 3548, 2723.9375, 4508.304768381275, 772.4727408003797
167, 3517, 2740.1875, 4484.484032221435, 705.7507898941238
168, 3631, 2954.375, 3845.8026029719167, 576.8272136118196
169, 3680, 2758.9375, 4773.555229867572, 564.116680355928
170, 3578, 2552.5625, 4286.386673780862, 1023.9627521887384
