generation, best seeker, average seeker, best avoider, average avoider
262, 3723, 2721.5625, 6490, 1040.359375
263, 3691, 2793.0, 6874, 1116.109375
264, 3348, 2515.625, 6885, 1463.859375
265, 3499, 2856.3125, 6849, 872.421875
266, 3659, 2767.5, 6792, 1096.1875
267, 3412, 2791.125, 6863, 1068.09375
268, 3705, 2849.6875, 6714, 800.234375
269, 3783, 2878.625, 6517, 928.90625
270, 3803, 2883.0, 6700, 833.578125
271, 3633, 2838.125, 6881, 1161.09375
272, 3783, 3072.375, 6806, 818.171875
273, 3502, 2653.75, 6825, 1157.171875
274, 3635, 2875.8125, 6671, 1028.796875
275, 3722, 2879.5, 6870, 887.34375
276, 3459, 2685.875, 6729, 1374.40625
277, 3799, 2810.0, 6735, 792.5
278, 3752, 3046.75, 6611, 688.265625
279, 3713, 2620.4375, 6895, 1231.609375
280, 3653, 2866.6875, 6692, 808.65625
281, 3648, 2957.1875, 6456, 653.0
282, 3646, 2795.625, 6717, 1110.46875
283, 3763, 2781.125, 6769, 905.03125
284, 3540, 2580.3125, 6801, 1272.875
285, 3740, 2957.875, 6768, 622.203125
286, 3703, 3131.5, 6760, 641.546875
287, 3825, 2748.0625, 6685, 1032.453125
288, 3810, 2954.6875, 6790, 883.828125
289, 3535, 2758.8125, 6566, 962.234375
290, 3784, 2971.6875, 6678, 836.25
291, 3787, 2791.25, 6545, 1003.328125
292, 3776, 2742.25, 6851, 1183.640625
293, 3814, 2717.4375, 6614, 987.71875
294, 3784, 2695.4375, 6894, 1256.078125
295, 3768, 2931.4375, 6725, 888.390625
296, 3822, 2883.1875, 6735, 1008.515625
297, 3696, 2896.8125, 6680, 809.015625
298, 3729, 2680.375, 6872, 1137.015625
299, 3672, 2662.125, 6799, 1015.125
300, 3659, 2916.4375, 6625, 637.171875
301, 3724, 2886.1875, 6884, 886.21875
302, 3752, 2869.375, 6682, 967.546875
303, 3758, 2935.875, 6627, 935.90625
304, 3471, 2751.8125, 6894, 892.59375
305, 3722, 3167.125, 6279, 496.328125
306, 3611, 2893.6875, 6802, 893.46875
307, 3829, 2832.25, 6508, 893.75
308, 3732, 2804.5625, 6660, 1044.1875
309, 3678, 2646.5625, 6850, 1280.8125
310, 3591, 2857.9375, 6733, 715.390625
311, 3805, 3091.25, 6770, 807.953125
312, 3877, 2917.4375, 6832, 918.953125
313, 3695, 2714.75, 6714, 920.953125
314, 3692, 2722.75, 6800, 1308.5625
315, 3826, 2850.25, 6645, 1051.21875
316, 3604, 2567.0, 6752, 855.84375
317, 3418, 2472.9375, 6758, 1285.28125
318, 3688, 2811.25, 6831, 1158.921875
319, 3679, 2931.75, 6455, 751.65625
320, 3692, 2755.6875, 6507, 834.5625
321, 3768, 3108.0625, 6711, 630.90625
322, 3655, 2879.5, 6608, 833.4375
323, 3586, 2729.0, 6555, 865.125
324, 3793, 3167.1875, 6526, 612.359375
325, 3474, 2779.125, 6673, 856.421875
326, 3693, 2863.6875, 6757, 996.734375
327, 3641, 2649.75, 6671, 898.296875
328, 3585, 2691.875, 6784, 1082.140625
329, 3652, 2803.875, 6772, 1029.390625
330, 3785, 2840.5, 6571, 801.5
331, 3712, 2941.6875, 6760, 1029.5
332, 3654, 2964.6875, 6849, 876.515625
333, 3587, 2703.4375, 6704, 1215.5625
334, 3757, 2906.25, 6382, 584.953125
335, 3745, 2907.5625, 6453, 925.46875
336, 3709, 2786.3125, 6596, 992.484375
337, 3902, 2768.0, 6823, 1107.234375
338, 3604, 2750.25, 6878, 1037.84375
339, 3770, 2872.1875, 6836, 973.515625
340, 3756, 3074.4375, 6559, 667.09375
341, 3748, 2817.4375, 6838, 1199.046875
342, 3692, 2882.5625, 6890, 1028.875
343, 3705, 3118.5, 6418, 585.15625
344, 3799, 2945.375, 6565, 851.078125
345, 3786, 2872.6875, 6838, 1115.78125
346, 3618, 3019.375, 6399, 551.78125
347, 3761, 2918.3125, 6623, 789.15625
