generation, best seeker, average seeker, best avoider, average avoider
232, 3747, 2903.125, 6741, 640.734375
233, 3736, 2631.0, 6869, 1477.8125
234, 3621, 2748.1875, 6753, 1022.953125
235, 3652, 2891.8125, 6767, 1004.328125
236, 3690, 2823.875, 6856, 900.34375
237, 3536, 2871.0625, 6700, 941.53125
238, 3779, 2694.1875, 6653, 1186.453125
239, 3559, 2792.4375, 6716, 1080.546875
240, 3608, 2793.6875, 6802, 1089.125
241, 3723, 2700.9375, 6623, 1029.140625
242, 3689, 3045.25, 6340, 595.390625
243, 3813, 3099.125, 6874, 697.640625
244, 3834, 2969.875, 6796, 709.234375
245, 3321, 2770.5, 6717, 955.046875
246, 3853, 2909.75, 6672, 942.53125
247, 3684, 2661.75, 6752, 1224.0625
248, 3712, 2987.75, 6899, 778.1875
249, 3515, 2793.1875, 6767, 965.90625
250, 3636, 2853.9375, 6850, 742.484375
251, 3689, 2814.3125, 6717, 1151.4375
252, 3669, 2995.125, 6312, 829.78125
253, 3775, 2873.8125, 6659, 1002.421875
254, 3651, 2837.1875, 6784, 957.390625
255, 3579, 2948.5, 6517, 530.71875
256, 3779, 2973.0, 6645, 817.609375
257, 3441, 2703.125, 6704, 1036.921875
258, 3903, 3005.0, 6510, 732.0
259, 3759, 2783.375, 6697, 1051.421875
260, 3613, 3050.625, 6873, 796.40625
261, 3774, 2822.875, 6869, 1098.078125
262, 3705, 2818.25, 6814, 1204.265625
263, 3803, 3256.875, 6531, 437.203125
264, 3683, 2996.8125, 6834, 980.671875
265, 3731, 2904.875, 6884, 703.28125
266, 3805, 2574.875, 6785, 1433.09375
267, 3733, 2757.6875, 6399, 1020.390625
268, 3575, 2596.5, 6848, 1162.9375
269, 3350, 2649.8125, 6894, 1167.125
270, 3811, 2870.875, 6444, 819.984375
271, 3770, 2854.375, 6589, 848.171875
272, 3745, 2731.375, 6832, 1047.046875
273, 3639, 2938.0, 6661, 842.796875
274, 3745, 3131.5625, 6491, 496.171875
275, 3682, 2927.25, 6606, 1077.296875
276, 3788, 3040.5625, 6767, 700.25
277, 3874, 2808.5625, 6917, 1222.171875
278, 3637, 2886.375, 6786, 944.3125
279, 3778, 2781.875, 6674, 979.828125
280, 3700, 2549.125, 6802, 1257.203125
281, 3710, 2801.5, 6580, 813.0
282, 3810, 2890.4375, 6134, 759.125
283, 3668, 2792.625, 6617, 923.203125
284, 3678, 2795.625, 6286, 985.0
285, 3761, 2909.0625, 6844, 847.21875
286, 3763, 2898.375, 6872, 998.28125
287, 3679, 2898.8125, 6710, 671.53125
